comp_name,comp_type,comp_headq,how_old,comp_no_emp,comp_review,open_jobs,comp_services,comp_logo,comp_description
IDFC FIRST Bank,Public,"Mumbai,Maharashtra + 441 more",10k-50k Employees (India),5 years old,(5.7k Reviews),732,"['Financial Services', 'Banking', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2lkZmMtYmFuay5qcGc.webp,"IDFC FIRST Bank was founded by the merger of IDFC Bank and Capital first in December 2018. IDFC FIRST Bank provides a range of financial solutions to individuals, small businesses, and corporates. The Bank offers savings and current accounts, NRI accounts, salary accounts, Demat accounts, fixed and recurring deposits, home and personal loans, small business loans, forex products, payment solutions, and wealth management services. IDFC FIRST Bank has a nationwide presence and operates in Retail Banking, Wholesale Banking, and other banking segments. Customers can choose where and how they want to bank: 599 branches across India with 727 ATMs, 25000+ employees, and growing. IDFC FIRST Bank has business correspondent centres across India with net banking services, mobile banking applications, and 24/7 toll-free Banker-on-Call service for our customers."

Bajaj Finserv,Public,"Pune,Maharashtra + 709 more",10k-50k Employees (India),16 years old,(5.5k Reviews),2.2k,"['FinTech', 'Insurance', 'Forbes Global 2000', 'Fortune India 500', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2JhamFqLWZpbnNlcnYuanBn.webp,"Bajaj Finserv was formed in April 2007 as a result of its demerger from Bajaj Auto Limited to further the Group�s interests in financial services. This demerger enabled Bajaj Finserv to independently run the core businesses of Lending, Protection and savings. Bajaj Finserv Limited is the holding company for the businesses dealing with financial services of the Bajaj Group. It serves millions of customers in the financial services space by providing solutions for asset acquisition through financing, asset protection through general insurance, family protection and income protection in the form of life and health insurance and retirement and savings solutions"

HSBC,Private,"Pune,Maharashtra + 53 more",1k-5k Employees (India),21 years old,(6k Reviews),51,"['Financial Services', 'Banking', 'Forbes Global 2000', 'Pune,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2hzYmMuanBn.webp,"HSBC, officially known as The Hongkong and Shanghai Banking Corporation Limited, is a wholly owned subsidiary of HSBC, the largest bank in Hong Kong, and operates branches and offices throughout the Asia Pacific region, and in other countries around the world"

Ericsson,Private,"Stockholm,Stockholm County + 134 more",10k-50k Employees (India),147 years old,(5.6k Reviews),99,"['Internet', 'Telecom', 'Analytics & KPO', 'Conglomerate', 'Forbes Global 2000']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2VyaWNzc29uLmpwZw.webp,"Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world."

Conneqt Business...,Private,"Mumbai,Maharashtra + 168 more",10k-50k Employees (India),21 years old,(5.3k Reviews),108,"['BPO/KPO', 'Analytics & KPO', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3Fjb25uZXF0LmpwZw.webp,"Established in 2004, Conneqt Business Solutions Ltd. (formerly Tata Business Support Services Ltd) headquartered in Hyderabad, is a subsidiary of Quess Corp (BSE: 539978, NSE: QUESS), India�s leading business services provider.  Throughout our journey, top industry analysts such as Gartner, Nelson Hall and Dun & Bradstreet have ranked us amongst the top Customer Lifecycle Management and Business Process Management service providers in India and the Middle East.

We are committed to provide world-class customer experience with our dedicated team of over 32,000+ employees located across 26 delivery centres. We�re constantly refining our technologies and developing ideas to better serve our 120 clients in 24 Indian and 12 International languages in over 600 + locations across PAN India through our unique �Feet on Street� offering. We have created a customer-centric collaborative ecosystem of people, platforms, processes and partners to align strategically with your business goals. We help elevate your organization with the power of our in-house domain expertise, cutting-edge technology, and analytics.

Besides Customer Lifecycle Management and Business Process Management services, Conneqt also provides Finance and Accounting (FAO), HR Shared Services (HRSS) and Middle and Back Office Services. The company uses its innovative DiB (Digital-in a-Box) framework to help clients rapidly develop digital services that are market ready. Conneqt is also investing in automation and analytics capabilities and geographical expansion into US, Middle East and APAC."

Mphasis,Public,"Bangalore/Bengaluru,Karnataka + 38 more",10k-50k Employees (India),25 years old,(5.1k Reviews),254,"['Hardware & Networking', 'IT Services & Consulting', 'Software Product', 'Fortune India 500', 'Public', 'Bangalore/Bengaluru,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL21waGFzaXMuanBn.webp,"Mphasis applies next-generation technology to help enterprises transform businesses globally. Customer centricity is foundational to Mphasis and is reflected in Mphasis� Front2Back� Transformation approach. 

Front2Back� uses the exponential power of cloud and cognitive to provide hyper-personalized (C=X2C2TM=1) digital experience to clients and their end customers. Mphasis� Service Transformation approach helps �shrink the core� through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world. 

Mphasis� core reference architectures and tools, speed, and innovation with domain expertise and specialization are key to building strong relationships with marquee clients."

Startek,Public,"Mumbai,Maharashtra + 51 more",10k-50k Employees (India),6 years old,(5k Reviews),1,"['BPO/KPO', 'BPO', 'IT Services & Consulting', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3N0YXJ0ZWsuanBn.webp,"For more than 25 years we�ve held an organization-wide conviction, that it�s our job to be the front line promoting and protecting your brand. Some of the world�s most prominent industry leaders, from telecommunication giants to technology power houses entrust STARTEK to uphold their reputations and to safe-guard their hard-won customers.

We work around the clock, around the world, and with great determination to ensure every customer interaction is one that authentically matters. It�s on this front line, in the moments of direct, person-to-person engagement, where the battle for customer loyalty lives or dies, and why we take our responsibility so seriously.

Every one of our centers has a program dedicated to improving and supporting the communities they are a part of through direct involvement and volunteerism. While we know paying it forward feels great, it also just makes good business sense. We�ve seen first hand what third party studies reinforce all the time � that engaged employees who have a sense of belonging, also have less absenteeism, lower turnover and are more profitable.

In addition to taking care of the communities our sites are in, STARTEK prides itself in taking care of one another during times of hardship as well. In 2014, STARTEK launched WIN (Warriors In Need), a foundation intended to provide basic necessities and temporary relief to any STARTEK employee as result of disaster or extraordinary life events.

The program was conceived by employees, for employees, and is primarily funded by STARTEK employee contributions to help one another in times of great need. The program is in its infancy, but has already proven to be an essential resource for facing a critical crisis."

Dr. Reddy's,Public,"Hyderabad/Secunderabad,Telangana + 136 more",10k-50k Employees (India),37 years old,(5k Reviews),403,"['Clinical Research', 'Pharma', 'Fortune India 500', 'Public', 'Hyderabad/Secunderabad,Telangana']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2RyLWRvdC1yZWRkeXMuanBn.webp,"Ask any of the 20,000 employees at Dr. Reddy�s why they come to work every day, and you are bound to hear, because �Good Health Can�t Wait.� These simple words describe the deep-rooted belief that drives us. Sometimes, the simplest words describe the most profound truths.

'Good Health� is always our goal. We see medicines not just as molecules, but as means to help patients regain their health. As a leader in the pharmaceutical industry, we realize our unique role; we have the ethical and moral imperative to ensure good health can be delivered to those who need it, and to promote wellness among them.

'Can't Wait� reflects our commitment to act with speed to find innovative solutions that address the unmet needs of patients, and to accelerate access to much-needed medicines for people around the world."

Indian Army,Public,"New Delhi,Delhi + 275 more",1 Lakh+ Employees (India),128 years old,(4.2k Reviews),85,"['Defence & Aerospace', 'Federal Agencies', 'Government', 'Public', 'New Delhi,Delhi']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2luZGlhbi1hcm15LmpwZw.webp,"The principal task of the Ministry is to frame policy directions on defence and security related matters and communicate them for implementation to the Services Headquarters, Inter-Service Organisations, Production Establishments and Research & Development Organisations. It is required to ensure effective implementation of the Government's policy directions and the execution of approved programmes within the allocated resources."

